Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination,Category
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:10 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:11 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:12 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:13 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:14 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:15 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:16 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:17 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:18 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:19 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:20 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:21 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:22 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:23 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:24 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:25 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:26 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:27 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:28 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:29 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:30 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:31 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:32 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:33 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
"Create,delete,negotiate",LinuxServer @vmcentosTA,222,"May 14, 2024, 11:34:34 AM",Information,192.168.142.140,0,192.168.142.140,Normal
Ssh Message,LinuxServer @vmcentosTA,74,"May 14, 2024, 11:34:35 AM",Messages,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:36 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:37 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:38 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:39 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:40 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:41 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:42 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:43 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:44 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:45 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:46 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:47 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:48 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:49 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:50 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:51 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:52 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:53 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
"Create,delete,negotiate",LinuxServer @vmcentosTA,222,"May 14, 2024, 11:34:54 AM",Information,192.168.142.140,0,192.168.142.140,Normal
Ssh Message,LinuxServer @vmcentosTA,74,"May 14, 2024, 11:34:55 AM",Messages,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:56 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:00 AM",Service Started,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:01 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:02 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:03 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:04 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:05 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:06 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
"Create,delete,negotiate",LinuxServer @vmcentosTA,222,"May 14, 2024, 11:35:07 AM",Information,192.168.142.140,0,192.168.142.142,Normal
Ssh Message,LinuxServer @vmcentosTA,74,"May 14, 2024, 11:35:08 AM",Messages,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:09 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:10 AM",Service Stopped,192.168.142.140,0,192.168.142.142,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:11 AM",Service Started,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:12 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:13 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:14 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:15 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:16 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:17 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
"Create,delete,negotiate",LinuxServer @vmcentosTA,222,"May 14, 2024, 11:35:18 AM",Information,192.168.142.140,0,192.168.142.142,Normal
Ssh Message,LinuxServer @vmcentosTA,74,"May 14, 2024, 11:35:19 AM",Messages,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:20 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:21 AM",Service Stopped,192.168.142.140,0,192.168.142.142,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:22 AM",Service Started,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:23 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:24 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:25 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:26 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:35:27 AM",Stored,192.168.142.140,0,192.168.142.142,Normal
